"short_description","icd_code","long_title"
"Hospital observation services","03285  ","Cutaneous diphtheria"
"Hospital observation services","0329   ","Diphtheria, unspecified"
"Integumentary system","0329   ","Diphtheria, unspecified"
"Musculoskeletal system","0329   ","Diphtheria, unspecified"
"Nervous system","0329   ","Diphtheria, unspecified"
"Digestive system","0340   ","Streptococcal sore throat"
"Hospital observation services","0340   ","Streptococcal sore throat"
"Respiratory system","0340   ","Streptococcal sore throat"
"Hospital observation services","035    ","Erysipelas"
"Hospital observation services","03819  ","Other staphylococcal septicemia"
"Urinary system","03819  ","Other staphylococcal septicemia"
"Hospital observation services","03842  ","Septicemia due to escherichia coli [E. coli]"
"Digestive system","03849  ","Other septicemia due to gram-negative organisms"
"Cardiovascular system","0389   ","Unspecified septicemia"
"Digestive system","0389   ","Unspecified septicemia"
"Hospital observation services","0389   ","Unspecified septicemia"
"Respiratory system","0389   ","Unspecified septicemia"
"Hospital observation services","0391   ","Pulmonary actinomycotic infection"
"Hospital observation services","0398   ","Actinomycotic infection of other specified sites"
"Musculoskeletal system","0400   ","Gas gangrene"
"Hospital observation services","04100  ","Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, unspecified"
"Hospital observation services","04101  ","Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group A"
"Digestive system","04102  ","Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B"
"Hospital observation services","04102  ","Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B"
"Maternity care and delivery","04102  ","Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B"
"Cardiovascular system","04104  ","Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]"
"Digestive system","04104  ","Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]"
"Hospital observation services","04104  ","Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]"
"Integumentary system","04104  ","Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]"
"Urinary system","04104  ","Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]"
"Hospital observation services","04109  ","Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus"
"Hospital observation services","04110  ","Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified"
"Integumentary system","04110  ","Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified"
"Cardiovascular system","04111  ","Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site"
"Digestive system","04111  ","Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site"
"Hospital observation services","04111  ","Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site"
"Integumentary system","04111  ","Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site"
"Musculoskeletal system","04111  ","Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site"
"Nervous system","04111  ","Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site"
"Physical medicine and rehabilitation","04111  ","Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site"
"Respiratory system","04111  ","Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site"
"Urinary system","04111  ","Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site"
"Cardiovascular system","04112  ","Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site"
"Hospital observation services","04112  ","Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site"
"Integumentary system","04112  ","Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site"
"Musculoskeletal system","04112  ","Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site"
"Digestive system","04119  ","Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus"
"Female genital system","04119  ","Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus"
"Hospital observation services","04119  ","Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus"
"Integumentary system","04119  ","Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus"
"Digestive system","0413   ","Friedländer's bacillus infection in conditions classified elsewhere and of unspecified site"
"Hospital observation services","0413   ","Friedländer's bacillus infection in conditions classified elsewhere and of unspecified site"
"Integumentary system","0413   ","Friedländer's bacillus infection in conditions classified elsewhere and of unspecified site"
"Nervous system","0413   ","Friedländer's bacillus infection in conditions classified elsewhere and of unspecified site"
"Cardiovascular","04149  ","Other and unspecified Escherichia coli [E. coli]"
"Cardiovascular system","04149  ","Other and unspecified Escherichia coli [E. coli]"
"Digestive system","04149  ","Other and unspecified Escherichia coli [E. coli]"
"Female genital system","04149  ","Other and unspecified Escherichia coli [E. coli]"
"Hospital observation services","04149  ","Other and unspecified Escherichia coli [E. coli]"
"Hydration,therapeutic,prophylactic,diagnostic injections and infusions,and chemotherapy and other highly complex drug or highly complex biologic agent administration","04149  ","Other and unspecified Escherichia coli [E. coli]"
"Integumentary system","04149  ","Other and unspecified Escherichia coli [E. coli]"
"Musculoskeletal system","04149  ","Other and unspecified Escherichia coli [E. coli]"
"Nervous system","04149  ","Other and unspecified Escherichia coli [E. coli]"
"Respiratory system","04149  ","Other and unspecified Escherichia coli [E. coli]"
"Urinary system","04149  ","Other and unspecified Escherichia coli [E. coli]"
"Hospital observation services","0415   ","Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site"
"Cardiovascular","0416   ","Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site"
"Hospital observation services","0416   ","Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site"
"Musculoskeletal system","0416   ","Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site"
"Respiratory system","0416   ","Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site"
"Urinary system","0416   ","Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site"
"Cardiovascular system","0417   ","Pseudomonas infection in conditions classified elsewhere and of unspecified site"
"Digestive system","0417   ","Pseudomonas infection in conditions classified elsewhere and of unspecified site"
"Hospital observation services","0417   ","Pseudomonas infection in conditions classified elsewhere and of unspecified site"
"Integumentary system","0417   ","Pseudomonas infection in conditions classified elsewhere and of unspecified site"
"Musculoskeletal system","0417   ","Pseudomonas infection in conditions classified elsewhere and of unspecified site"
"Respiratory system","0417   ","Pseudomonas infection in conditions classified elsewhere and of unspecified site"
"Urinary system","0417   ","Pseudomonas infection in conditions classified elsewhere and of unspecified site"
"Digestive system","04182  ","Bacteroides fragilis"
"Hospital observation services","04184  ","Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes"
"Integumentary system","04184  ","Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes"
"Musculoskeletal system","04184  ","Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes"
"Digestive system","04185  ","Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms"
"Hospital observation services","04185  ","Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms"
"Musculoskeletal system","04185  ","Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms"
"Digestive system","04186  ","Helicobacter pylori [H. pylori]"
"Hospital observation services","04186  ","Helicobacter pylori [H. pylori]"
"Integumentary system","04186  ","Helicobacter pylori [H. pylori]"
"Musculoskeletal system","04186  ","Helicobacter pylori [H. pylori]"
"Digestive system","04189  ","Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria"
"Hospital observation services","04189  ","Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria"
"Integumentary system","04189  ","Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria"
"Musculoskeletal system","04189  ","Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria"
"Digestive system","0419   ","Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site"
"Female genital system","0419   ","Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site"
"Hospital observation services","0419   ","Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site"
"Cardiovascular","042    ","Human immunodeficiency virus [HIV] disease"
"Cardiovascular system","042    ","Human immunodeficiency virus [HIV] disease"
"Digestive system","042    ","Human immunodeficiency virus [HIV] disease"
"Female genital system","042    ","Human immunodeficiency virus [HIV] disease"
"Hospital observation services","042    ","Human immunodeficiency virus [HIV] disease"
"Integumentary system","042    ","Human immunodeficiency virus [HIV] disease"
"Musculoskeletal system","042    ","Human immunodeficiency virus [HIV] disease"
"Nervous system","042    ","Human immunodeficiency virus [HIV] disease"
"Respiratory system","042    ","Human immunodeficiency virus [HIV] disease"
"Urinary system","042    ","Human immunodeficiency virus [HIV] disease"
"Hospital observation services","0463   ","Progressive multifocal leukoencephalopathy"
"Nervous system","0463   ","Progressive multifocal leukoencephalopathy"
"Hospital observation services","0478   ","Other specified viral meningitis"
"Hospital observation services","0479   ","Unspecified viral meningitis"
"Nervous system","0479   ","Unspecified viral meningitis"
"Hospital observation services","0522   ","Postvaricella myelitis"
"Digestive system","0529   ","Varicella without mention of complication"
"Hospital observation services","05311  ","Geniculate herpes zoster"
"Nervous system","05311  ","Geniculate herpes zoster"
"Hospital observation services","05312  ","Postherpetic trigeminal neuralgia"
"Cardiovascular","05319  ","Herpes zoster with other nervous system complications"
"Digestive system","05319  ","Herpes zoster with other nervous system complications"
"Hospital observation services","05319  ","Herpes zoster with other nervous system complications"
"Musculoskeletal system","05319  ","Herpes zoster with other nervous system complications"
"Respiratory system","05319  ","Herpes zoster with other nervous system complications"
"Digestive system","05329  ","Herpes zoster with other ophthalmic complications"
"Hospital observation services","05379  ","Herpes zoster with other specified complications"
"Cardiovascular system","0539   ","Herpes zoster without mention of complication"
"Digestive system","0539   ","Herpes zoster without mention of complication"
"Hospital observation services","0539   ","Herpes zoster without mention of complication"
"Integumentary system","0539   ","Herpes zoster without mention of complication"
"Musculoskeletal system","0539   ","Herpes zoster without mention of complication"
"Respiratory system","0539   ","Herpes zoster without mention of complication"
"Hospital observation services","05410  ","Genital herpes, unspecified"
"Nervous system","05410  ","Genital herpes, unspecified"
"Urinary system","05410  ","Genital herpes, unspecified"
"Hospital observation services","05413  ","Herpetic infection of penis"
"Hospital observation services","0542   ","Herpetic gingivostomatitis"
"Hospital observation services","05440  ","Herpes simplex with unspecified ophthalmic complication"
"Hospital observation services","05443  ","Herpes simplex disciform keratitis"
"Hospital observation services","0546   ","Herpetic whitlow"
"Hospital observation services","05472  ","Herpes simplex meningitis"
"Digestive system","05479  ","Herpes simplex with other specified complications"
"Hospital observation services","05479  ","Herpes simplex with other specified complications"
"Cardiovascular system","0549   ","Herpes simplex without mention of complication"
"Digestive system","0549   ","Herpes simplex without mention of complication"
"Hemic and lymphatic systems","0549   ","Herpes simplex without mention of complication"
"Hospital observation services","0549   ","Herpes simplex without mention of complication"
"Integumentary system","0549   ","Herpes simplex without mention of complication"
"Musculoskeletal system","0549   ","Herpes simplex without mention of complication"
"Nervous system","0549   ","Herpes simplex without mention of complication"
"Hospital observation services","0579   ","Viral exanthem, unspecified"
"Integumentary system","0579   ","Viral exanthem, unspecified"
"Hospital observation services","061    ","Dengue"
"Digestive system","0701   ","Viral hepatitis A without mention of hepatic coma"
"Hospital observation services","0701   ","Viral hepatitis A without mention of hepatic coma"
"Integumentary system","0701   ","Viral hepatitis A without mention of hepatic coma"
"Hospital observation services","07020  ","Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta"
"Cardiovascular","07030  ","Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
"Cardiovascular system","07030  ","Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
"Digestive system","07030  ","Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
"Endocrine system","07030  ","Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
"Hemic and lymphatic systems","07030  ","Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
"Hospital observation services","07030  ","Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
"Integumentary system","07030  ","Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
"Musculoskeletal system","07030  ","Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
"Nervous system","07030  ","Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
"Respiratory system","07030  ","Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
"Digestive system","07031  ","Viral hepatitis B without mention of hepatic coma, acute or unspecified, with hepatitis delta"
"Hospital observation services","07031  ","Viral hepatitis B without mention of hepatic coma, acute or unspecified, with hepatitis delta"
"Cardiovascular","07032  ","Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta"
"Digestive system","07032  ","Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta"
"Endocrine system","07032  ","Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta"
"Female genital system","07032  ","Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta"
"Hemic and lymphatic systems","07032  ","Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta"
"Hospital observation services","07032  ","Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta"
"Integumentary system","07032  ","Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta"
"Male genital system","07032  ","Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta"
"Musculoskeletal system","07032  ","Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta"
"Urinary system","07032  ","Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta"
"Digestive system","07044  ","Chronic hepatitis C with hepatic coma"
"Hospital observation services","07044  ","Chronic hepatitis C with hepatic coma"
"Digestive system","07051  ","Acute hepatitis C without mention of hepatic coma"
"Hospital observation services","07051  ","Acute hepatitis C without mention of hepatic coma"
"Cardiovascular","07054  ","Chronic hepatitis C without mention of hepatic coma"
"Cardiovascular system","07054  ","Chronic hepatitis C without mention of hepatic coma"
"Digestive system","07054  ","Chronic hepatitis C without mention of hepatic coma"
"Female genital system","07054  ","Chronic hepatitis C without mention of hepatic coma"
"Hemic and lymphatic systems","07054  ","Chronic hepatitis C without mention of hepatic coma"
"Hospital observation services","07054  ","Chronic hepatitis C without mention of hepatic coma"
"Hydration,therapeutic,prophylactic,diagnostic injections and infusions,and chemotherapy and other highly complex drug or highly complex biologic agent administration","07054  ","Chronic hepatitis C without mention of hepatic coma"
"Integumentary system","07054  ","Chronic hepatitis C without mention of hepatic coma"
"Male genital system","07054  ","Chronic hepatitis C without mention of hepatic coma"
"Musculoskeletal system","07054  ","Chronic hepatitis C without mention of hepatic coma"
"Nervous system","07054  ","Chronic hepatitis C without mention of hepatic coma"
"Respiratory system","07054  ","Chronic hepatitis C without mention of hepatic coma"
"Urinary system","07054  ","Chronic hepatitis C without mention of hepatic coma"
"Hospital observation services","07059  ","Other specified viral hepatitis without mention of hepatic coma"
"Cardiovascular","07070  ","Unspecified viral hepatitis C without hepatic coma"
"Cardiovascular system","07070  ","Unspecified viral hepatitis C without hepatic coma"
"Digestive system","07070  ","Unspecified viral hepatitis C without hepatic coma"
"Endocrine system","07070  ","Unspecified viral hepatitis C without hepatic coma"
"Female genital system","07070  ","Unspecified viral hepatitis C without hepatic coma"
"Hemic and lymphatic systems","07070  ","Unspecified viral hepatitis C without hepatic coma"
"Hospital observation services","07070  ","Unspecified viral hepatitis C without hepatic coma"
"Hydration,therapeutic,prophylactic,diagnostic injections and infusions,and chemotherapy and other highly complex drug or highly complex biologic agent administration","07070  ","Unspecified viral hepatitis C without hepatic coma"
"Integumentary system","07070  ","Unspecified viral hepatitis C without hepatic coma"
"Maternity care and delivery","07070  ","Unspecified viral hepatitis C without hepatic coma"
"Musculoskeletal system","07070  ","Unspecified viral hepatitis C without hepatic coma"
"Nervous system","07070  ","Unspecified viral hepatitis C without hepatic coma"
"Physical medicine and rehabilitation","07070  ","Unspecified viral hepatitis C without hepatic coma"
"Respiratory system","07070  ","Unspecified viral hepatitis C without hepatic coma"
"Urinary system","07070  ","Unspecified viral hepatitis C without hepatic coma"
"Cardiovascular system","07071  ","Unspecified viral hepatitis C with hepatic coma"
"Digestive system","07071  ","Unspecified viral hepatitis C with hepatic coma"
"Hospital observation services","07071  ","Unspecified viral hepatitis C with hepatic coma"
"Musculoskeletal system","07071  ","Unspecified viral hepatitis C with hepatic coma"
"Digestive system","0709   ","Unspecified viral hepatitis without mention of hepatic coma"
"Hospital observation services","0709   ","Unspecified viral hepatitis without mention of hepatic coma"
"Digestive system","075    ","Infectious mononucleosis"
"Hospital observation services","075    ","Infectious mononucleosis"
"Nervous system","075    ","Infectious mononucleosis"
"Hospital observation services","07799  ","Unspecified diseases of conjunctiva due to viruses"
"Cardiovascular system","07810  ","Viral warts, unspecified"
"Digestive system","07810  ","Viral warts, unspecified"
"Female genital system","07810  ","Viral warts, unspecified"
"Hospital observation services","07810  ","Viral warts, unspecified"
"Integumentary system","07810  ","Viral warts, unspecified"
"Musculoskeletal system","07810  ","Viral warts, unspecified"
"Digestive system","07811  ","Condyloma acuminatum"
"Endocrine system","07811  ","Condyloma acuminatum"
"Female genital system","07811  ","Condyloma acuminatum"
"Hospital observation services","07811  ","Condyloma acuminatum"
"Integumentary system","07811  ","Condyloma acuminatum"
"Male genital system","07811  ","Condyloma acuminatum"
"Urinary system","07811  ","Condyloma acuminatum"
"Hospital observation services","07812  ","Plantar wart"
"Digestive system","07819  ","Other specified viral warts"
"Hospital observation services","07819  ","Other specified viral warts"
"Digestive system","0785   ","Cytomegaloviral disease"
"Hospital observation services","0785   ","Cytomegaloviral disease"
"Hospital observation services","07881  ","Epidemic vertigo"
"Female genital system","0794   ","Human papillomavirus in conditions classified elsewhere and of unspecified site"
"Hospital observation services","0794   ","Human papillomavirus in conditions classified elsewhere and of unspecified site"
"Urinary system","0794   ","Human papillomavirus in conditions classified elsewhere and of unspecified site"
"Digestive system","07951  ","Human T-cell lymphotrophic virus, type I [HTLV-I]"
"Hospital observation services","07952  ","Human T-cell lymphotrophic virus, type II [HTLV-II]"
"Hospital observation services","0796   ","Respiratory syncytial virus (RSV)"
"Digestive system","07998  ","Unspecified chlamydial infection"
"Hospital observation services","07998  ","Unspecified chlamydial infection"
"Cardiovascular","07999  ","Unspecified viral infection"
"Digestive system","07999  ","Unspecified viral infection"
"Hospital observation services","07999  ","Unspecified viral infection"
"Nervous system","07999  ","Unspecified viral infection"
"Urinary system","07999  ","Unspecified viral infection"
"Hospital observation services","08249  ","Other ehrlichiosis"
"Hospital observation services","0846   ","Malaria, unspecified"
"Cardiovascular system","0860   ","Chagas' disease with heart involvement"
"Hospital observation services","0860   ","Chagas' disease with heart involvement"
"Hospital observation services","0862   ","Chagas' disease without mention of organ involvement"
"Hospital observation services","0879   ","Relapsing fever, unspecified"
"Cardiovascular system","08881  ","Lyme Disease"
"Digestive system","08881  ","Lyme Disease"
"Hospital observation services","08881  ","Lyme Disease"
"Nervous system","08881  ","Lyme Disease"
"Hospital observation services","08882  ","Babesiosis"
"Integumentary system","08882  ","Babesiosis"
"Hospital observation services","0912   ","Other primary syphilis"
"Nervous system","0919   ","Unspecified secondary syphilis"
"Hospital observation services","0929   ","Early syphilis, latent, unspecified"
"Cardiovascular system","0940   ","Tabes dorsalis"
"Digestive system","0940   ","Tabes dorsalis"
"Hospital observation services","0940   ","Tabes dorsalis"
"Integumentary system","0940   ","Tabes dorsalis"
"Cardiovascular system","0949   ","Neurosyphilis, unspecified"
"Hospital observation services","0949   ","Neurosyphilis, unspecified"
"Hospital observation services","0971   ","Latent syphilis, unspecified"
"Digestive system","0979   ","Syphilis, unspecified"
"Hospital observation services","0979   ","Syphilis, unspecified"
"Hospital observation services","0980   ","Gonococcal infection (acute) of lower genitourinary tract"
"Hospital observation services","0993   ","Reiter's disease"
"Digestive system","09941  ","Other nongonococcal urethritis, chlamydia trachomatis"
"Hospital observation services","09941  ","Other nongonococcal urethritis, chlamydia trachomatis"
"Musculoskeletal system","09941  ","Other nongonococcal urethritis, chlamydia trachomatis"
"Female genital system","09953  ","Other venereal diseases due to chlamydia trachomatis, lower genitourinary sites"
"Hospital observation services","09953  ","Other venereal diseases due to chlamydia trachomatis, lower genitourinary sites"
"Hospital observation services","09954  ","Other venereal diseases due to chlamydia trachomatis, other genitourinary sites"
"Hospital observation services","09955  ","Other venereal diseases due to chlamydia trachomatis, unspecified genitourinary site"
"Cardiovascular system","1101   ","Dermatophytosis of nail"
"Digestive system","1101   ","Dermatophytosis of nail"
"Hospital observation services","1101   ","Dermatophytosis of nail"
"Integumentary system","1101   ","Dermatophytosis of nail"
"Musculoskeletal system","1101   ","Dermatophytosis of nail"
"Digestive system","1103   ","Dermatophytosis of groin and perianal area"
"Hospital observation services","1103   ","Dermatophytosis of groin and perianal area"
"Hospital observation services","1104   ","Dermatophytosis of foot"
"Integumentary system","1104   ","Dermatophytosis of foot"
"Digestive system","1105   ","Dermatophytosis of the body"
"Hospital observation services","1105   ","Dermatophytosis of the body"
"Hospital observation services","1109   ","Dermatophytosis of unspecified site"
"Hospital observation services","1110   ","Pityriasis versicolor"
"Nervous system","1110   ","Pityriasis versicolor"
"Hospital observation services","1119   ","Dermatomycosis, unspecified"
"Cardiovascular system","1120   ","Candidiasis of mouth"
"Digestive system","1120   ","Candidiasis of mouth"
"Hospital observation services","1120   ","Candidiasis of mouth"
"Integumentary system","1120   ","Candidiasis of mouth"
"Male genital system","1120   ","Candidiasis of mouth"
"Respiratory system","1120   ","Candidiasis of mouth"
"Urinary system","1120   ","Candidiasis of mouth"
"Digestive system","1121   ","Candidiasis of vulva and vagina"
"Hospital observation services","1121   ","Candidiasis of vulva and vagina"
"Integumentary system","1121   ","Candidiasis of vulva and vagina"
"Hospital observation services","1122   ","Candidiasis of other urogenital sites"
"Hospital observation services","1123   ","Candidiasis of skin and nails"
"Integumentary system","1123   ","Candidiasis of skin and nails"
"Cardiovascular system","11281  ","Candidal endocarditis"
"Hospital observation services","11281  ","Candidal endocarditis"
"Digestive system","11284  ","Candidal esophagitis"
"Hospital observation services","11284  ","Candidal esophagitis"
"Hospital observation services","11289  ","Other candidiasis of other specified sites"
"Digestive system","1129   ","Candidiasis of unspecified site"
"Hospital observation services","1129   ","Candidiasis of unspecified site"
"Hospital observation services","1171   ","Sporotrichosis"
"Respiratory system","1171   ","Sporotrichosis"
"Hospital observation services","1173   ","Aspergillosis"
"Respiratory system","1173   ","Aspergillosis"
"Digestive system","1179   ","Other and unspecified mycoses"
"Hospital observation services","1179   ","Other and unspecified mycoses"
"Respiratory system","1179   ","Other and unspecified mycoses"
"Digestive system","1209   ","Schistosomiasis, unspecified"
"Hospital observation services","1209   ","Schistosomiasis, unspecified"
"Hospital observation services","1231   ","Cysticercosis"
"Hospital observation services","1309   ","Toxoplasmosis, unspecified"
"Hospital observation services","13100  ","Urogenital trichomoniasis, unspecified"
"Hospital observation services","13101  ","Trichomonal vulvovaginitis"
"Hospital observation services","1319   ","Trichomoniasis, unspecified"
"Hospital observation services","1320   ","Pediculus capitis [head louse]"
"Hospital observation services","1329   ","Pediculosis, unspecified"
"Hospital observation services","1330   ","Scabies"
"Hospital observation services","1340   ","Myiasis"
"Hospital observation services","1342   ","Hirudiniasis"
"Hospital observation services","1349   ","Infestation, unspecified"
"Cardiovascular","135    ","Sarcoidosis"
"Cardiovascular system","135    ","Sarcoidosis"
"Digestive system","135    ","Sarcoidosis"
"Female genital system","135    ","Sarcoidosis"
"Hemic and lymphatic systems","135    ","Sarcoidosis"
"Hospital observation services","135    ","Sarcoidosis"
"Integumentary system","135    ","Sarcoidosis"
"Musculoskeletal system","135    ","Sarcoidosis"
"Nervous system","135    ","Sarcoidosis"
"Respiratory system","135    ","Sarcoidosis"
"Urinary system","135    ","Sarcoidosis"
"Endocrine system","1361   ","Behcet's syndrome"
"Hospital observation services","1361   ","Behcet's syndrome"
"Nervous system","1361   ","Behcet's syndrome"
"Hospital observation services","1363   ","Pneumocystosis"
"Cardiovascular system","1369   ","Unspecified infectious and parasitic diseases"
"Hospital observation services","1369   ","Unspecified infectious and parasitic diseases"
"Male genital system","1369   ","Unspecified infectious and parasitic diseases"
"Musculoskeletal system","1369   ","Unspecified infectious and parasitic diseases"
"Nervous system","1369   ","Unspecified infectious and parasitic diseases"
"Cardiovascular system","138    ","Late effects of acute poliomyelitis"
"Digestive system","138    ","Late effects of acute poliomyelitis"
"Hospital observation services","138    ","Late effects of acute poliomyelitis"
"Hospital observation services","1390   ","Late effects of viral encephalitis"
"Digestive system","1398   ","Late effects of other and unspecified infectious and parasitic diseases"
"Hospital observation services","1398   ","Late effects of other and unspecified infectious and parasitic diseases"
"Digestive system","1400   ","Malignant neoplasm of upper lip, vermilion border"
